Company Name,Industry,Symbol,Series,ISIN Code
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038
3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025
AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017
AWL Agri Business Ltd.,Fast Moving Consumer Goods,AWL,EQ,INE699H01024
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016
Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,EQ,INE343G01021
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039
CRISIL Ltd.,Financial Services,CRISIL,EQ,INE007A01025
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01025
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01025
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE,EQ,INE913H01037
Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT,EQ,INE188A01015
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013
GE Vernova T&D India Ltd.,Capital Goods,GVT&D,EQ,INE200A01026
GMR Airports Ltd.,Services,GMRAIRPORT,EQ,INE776C01039
General Insurance Corporation of India,Financial Services,GICRE,EQ,INE481Y01014
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,INE159A01016
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035
Global Health Ltd.,Healthcare,MEDANTA,EQ,INE474Q01031
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,INE260B01028
Godrej Industries Ltd.,Diversified,GODREJIND,EQ,INE233A01035
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM,EQ,INE09N301011
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD,EQ,INE844O01030
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
Hexaware Technologies Ltd.,Information Technology,HEXT,EQ,INE093A01041
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011
Honeywell Automation India Ltd.,Capital Goods,HONAUT,EQ,INE671A01010
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019
IDBI Bank Ltd.,Financial Services,IDBI,EQ,INE008A01015
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019
IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01022
ITC Hotels Ltd.,Consumer Services,ITCHOTELS,EQ,INE379A01028
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011
Indian Overseas Bank,Financial Services,IOB,EQ,INE565A01014
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020
Indian Renewable Energy Development Agency Ltd.,Financial Services,IREDA,EQ,INE202E01016
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012
Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,INE571A01038
J.K. Cement Ltd.,Construction Materials,JKCEMENT,EQ,INE823G01014
JSW Infrastructure Ltd.,Services,JSWINFRA,EQ,INE880J01026
Jindal Stainless Ltd.,Metals & Mining,JSL,EQ,INE220G01021
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020
K.P.R. Mill Ltd.,Textiles,KPRMILL,EQ,INE930H01031
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026
Linde India Ltd.,Chemicals,LINDEINDIA,EQ,INE473A01011
Lloyds Metals And Energy Ltd.,Metals & Mining,LLOYDSME,EQ,INE281B01032
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024
Mankind Pharma Ltd.,Healthcare,MANKIND,EQ,INE634S01028
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012
NHPC Ltd.,Power,NHPC,EQ,INE848E01016
NLC India Ltd.,Power,NLCINDIA,EQ,INE589A01014
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023
NTPC Green Energy Ltd.,Power,NTPCGREEN,EQ,INE0ONG01011
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,EQ,INE298J01013
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI,EQ,INE619A01035
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,EQ,INE347G01014
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
Premier Energies Ltd.,Capital Goods,PREMIERENE,EQ,INE0BS701011
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011
Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH,EQ,INE179A01014
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016
SJVN Ltd.,Power,SJVN,EQ,INE002L01015
SRF Ltd.,Chemicals,SRF,EQ,INE647A01010
Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER,EQ,INE513A01022
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,INE073K01018
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011
Sundaram Finance Ltd.,Financial Services,SUNDARMFIN,EQ,INE660A01013
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021
Swiggy Ltd.,Consumer Services,SWIGGY,EQ,INE00H001014
Syngene International Ltd.,Healthcare,SYNGENE,EQ,INE398R01022
Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012
Tata Investment Corporation Ltd.,Financial Services,TATAINVEST,EQ,INE672A01026
Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025
The New India Assurance Company Ltd.,Financial Services,NIACL,EQ,INE470Y01017
Thermax Ltd.,Capital Goods,THERMAX,EQ,INE152A01029
Torrent Power Ltd.,Power,TORNTPOWER,EQ,INE813H01021
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,EQ,INE974X01010
UCO Bank,Financial Services,UCOBANK,EQ,INE691A01018
UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA,EQ,INE405E01023
UPL Ltd.,Chemicals,UPL,EQ,INE628A01036
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016
United Breweries Ltd.,Fast Moving Consumer Goods,UBL,EQ,INE686F01025
Vishal Mega Mart Ltd.,Consumer Services,VMM,EQ,INE01EA01019
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021
Waaree Energies Ltd.,Capital Goods,WAAREEENER,EQ,INE377N01017
Yes Bank Ltd.,Financial Services,YESBANK,EQ,INE528G01035
