24122025
Symbol,Month type,Symbol Type,Step Value,No. of Strikes Provided (ITM),No. of Strikes Provided (ATM),No. of Strikes Provided (OTM),Total Strikes including reserve (ITM),Total Strikes including reserve (ATM),Total Strikes including reserve (OTM)
KPITTECH,M3,EQUITY,80,2,1,2,6,1,6
LAURUSLABS,M1,EQUITY,10,9,1,9,27,1,27
LAURUSLABS,M1,EQUITY,20,7,1,7,21,1,21
LAURUSLABS,M2,EQUITY,10,9,1,9,27,1,27
LAURUSLABS,M2,EQUITY,20,7,1,7,21,1,21
LAURUSLABS,M3,EQUITY,20,5,1,5,15,1,15
LAURUSLABS,M3,EQUITY,40,3,1,3,9,1,9
LICHSGFIN,M1,EQUITY,5,11,1,11,33,1,33
LICHSGFIN,M1,EQUITY,10,9,1,9,27,1,27
LICHSGFIN,M2,EQUITY,5,11,1,11,33,1,33
LICHSGFIN,M2,EQUITY,10,9,1,9,27,1,27
LICHSGFIN,M3,EQUITY,10,6,1,6,18,1,18
LICHSGFIN,M3,EQUITY,20,4,1,4,12,1,12
LICI,M1,EQUITY,10,9,1,9,27,1,27
LICI,M1,EQUITY,20,7,1,7,21,1,21
LICI,M2,EQUITY,10,9,1,9,27,1,27
LICI,M2,EQUITY,20,7,1,7,21,1,21
LICI,M3,EQUITY,20,4,1,4,12,1,12
LICI,M3,EQUITY,40,3,1,3,9,1,9
LODHA,M1,EQUITY,20,6,1,6,18,1,18
LODHA,M1,EQUITY,40,4,1,4,12,1,12
LODHA,M2,EQUITY,20,6,1,6,18,1,18
LODHA,M2,EQUITY,40,4,1,4,12,1,12
LODHA,M3,EQUITY,40,3,1,3,9,1,9
LODHA,M3,EQUITY,80,2,1,2,6,1,6
LT,M1,EQUITY,20,12,1,12,36,1,36
LT,M1,EQUITY,40,12,1,12,36,1,36
LT,M2,EQUITY,20,12,1,12,36,1,36
LT,M2,EQUITY,40,12,1,12,36,1,36
LT,M3,EQUITY,40,6,1,6,18,1,18
LT,M3,EQUITY,80,6,1,6,18,1,18
LTF,M1,EQUITY,2.5,10,1,10,30,1,30
LTF,M1,EQUITY,5,7,1,7,21,1,21
LTF,M2,EQUITY,2.5,10,1,10,30,1,30
LTF,M2,EQUITY,5,7,1,7,21,1,21
LTF,M3,EQUITY,5,5,1,5,15,1,15
LTF,M3,EQUITY,10,4,1,4,12,1,12
LTIM,M1,EQUITY,50,11,1,11,33,1,33
LTIM,M1,EQUITY,100,8,1,8,24,1,24
LTIM,M2,EQUITY,50,11,1,11,33,1,33
LTIM,M2,EQUITY,100,8,1,8,24,1,24
LTIM,M3,EQUITY,100,5,1,5,15,1,15
LTIM,M3,EQUITY,200,4,1,4,12,1,12
LUPIN,M1,EQUITY,20,10,1,10,30,1,30
LUPIN,M1,EQUITY,40,8,1,8,24,1,24
LUPIN,M2,EQUITY,20,10,1,10,30,1,30
LUPIN,M2,EQUITY,40,8,1,8,24,1,24
LUPIN,M3,EQUITY,40,5,1,5,15,1,15
LUPIN,M3,EQUITY,80,4,1,4,12,1,12
M&M,M1,EQUITY,50,7,1,7,21,1,21
M&M,M1,EQUITY,100,5,1,5,15,1,15
M&M,M2,EQUITY,50,7,1,7,21,1,21
M&M,M2,EQUITY,100,5,1,5,15,1,15
M&M,M3,EQUITY,100,4,1,4,12,1,12
M&M,M3,EQUITY,200,3,1,3,9,1,9
MANAPPURAM,M1,EQUITY,2.5,12,1,12,36,1,36
MANAPPURAM,M1,EQUITY,5,9,1,9,27,1,27
MANAPPURAM,M2,EQUITY,2.5,12,1,12,36,1,36
MANAPPURAM,M2,EQUITY,5,9,1,9,27,1,27
MANAPPURAM,M3,EQUITY,5,6,1,6,18,1,18
MANAPPURAM,M3,EQUITY,10,4,1,4,12,1,12
MANKIND,M1,EQUITY,50,5,1,5,15,1,15
MANKIND,M1,EQUITY,100,4,1,4,12,1,12
MANKIND,M2,EQUITY,50,5,1,5,15,1,15
MANKIND,M2,EQUITY,100,4,1,4,12,1,12
MANKIND,M3,EQUITY,100,3,1,3,9,1,9
MANKIND,M3,EQUITY,200,2,1,2,6,1,6
MARICO,M1,EQUITY,10,7,1,7,21,1,21
MARICO,M1,EQUITY,20,5,1,5,15,1,15
MARICO,M2,EQUITY,10,7,1,7,21,1,21
MARICO,M2,EQUITY,20,5,1,5,15,1,15
MARICO,M3,EQUITY,20,4,1,4,12,1,12
MARICO,M3,EQUITY,40,3,1,3,9,1,9
MARUTI,M1,EQUITY,100,12,1,12,36,1,36
MARUTI,M1,EQUITY,200,11,1,11,33,1,33
MARUTI,M2,EQUITY,100,12,1,12,36,1,36
MARUTI,M2,EQUITY,200,11,1,11,33,1,33
MARUTI,M3,EQUITY,200,6,1,6,18,1,18
MARUTI,M3,EQUITY,400,6,1,6,18,1,18
MAXHEALTH,M1,EQUITY,20,6,1,6,18,1,18
MAXHEALTH,M1,EQUITY,40,4,1,4,12,1,12
MAXHEALTH,M2,EQUITY,20,6,1,6,18,1,18
MAXHEALTH,M2,EQUITY,40,4,1,4,12,1,12
MAXHEALTH,M3,EQUITY,40,3,1,3,9,1,9
MAXHEALTH,M3,EQUITY,80,2,1,2,6,1,6
MAZDOCK,M1,EQUITY,50,6,1,6,18,1,18
MAZDOCK,M1,EQUITY,100,4,1,4,12,1,12
MAZDOCK,M2,EQUITY,50,6,1,6,18,1,18
MAZDOCK,M2,EQUITY,100,4,1,4,12,1,12
MAZDOCK,M3,EQUITY,100,3,1,3,9,1,9
MAZDOCK,M3,EQUITY,200,2,1,2,6,1,6
MCX,M1,EQUITY,100,8,1,8,24,1,24
MCX,M1,EQUITY,200,6,1,6,18,1,18
MCX,M2,EQUITY,100,8,1,8,24,1,24
MCX,M2,EQUITY,200,6,1,6,18,1,18
MCX,M3,EQUITY,200,4,1,4,12,1,12
MCX,M3,EQUITY,400,3,1,3,9,1,9
MFSL,M1,EQUITY,20,8,1,8,24,1,24
MFSL,M1,EQUITY,40,6,1,6,18,1,18
MFSL,M2,EQUITY,20,8,1,8,24,1,24
MFSL,M2,EQUITY,40,6,1,6,18,1,18
MFSL,M3,EQUITY,40,4,1,4,12,1,12
MFSL,M3,EQUITY,80,3,1,3,9,1,9
MOTHERSON,M1,EQUITY,1,11,1,11,33,1,33
MOTHERSON,M1,EQUITY,2,8,1,8,24,1,24
MOTHERSON,M2,EQUITY,1,11,1,11,33,1,33
MOTHERSON,M2,EQUITY,2,8,1,8,24,1,24
MOTHERSON,M3,EQUITY,2,5,1,5,15,1,15
MOTHERSON,M3,EQUITY,4,4,1,4,12,1,12
MPHASIS,M1,EQUITY,50,6,1,6,18,1,18
MPHASIS,M1,EQUITY,100,4,1,4,12,1,12
MPHASIS,M2,EQUITY,50,6,1,6,18,1,18
MPHASIS,M2,EQUITY,100,4,1,4,12,1,12
MPHASIS,M3,EQUITY,100,3,1,3,9,1,9
MPHASIS,M3,EQUITY,200,2,1,2,6,1,6
MUTHOOTFIN,M1,EQUITY,50,6,1,6,18,1,18
MUTHOOTFIN,M1,EQUITY,100,4,1,4,12,1,12
MUTHOOTFIN,M2,EQUITY,50,6,1,6,18,1,18
MUTHOOTFIN,M2,EQUITY,100,4,1,4,12,1,12
MUTHOOTFIN,M3,EQUITY,100,3,1,3,9,1,9
MUTHOOTFIN,M3,EQUITY,200,2,1,2,6,1,6
NATIONALUM,M1,EQUITY,2.5,9,1,9,27,1,27
NATIONALUM,M1,EQUITY,5,7,1,7,21,1,21
NATIONALUM,M2,EQUITY,2.5,9,1,9,27,1,27
NATIONALUM,M2,EQUITY,5,7,1,7,21,1,21
NATIONALUM,M3,EQUITY,5,4,1,4,12,1,12
NATIONALUM,M3,EQUITY,10,3,1,3,9,1,9
NAUKRI,M1,EQUITY,20,7,1,7,21,1,21
NAUKRI,M1,EQUITY,40,5,1,5,15,1,15
NAUKRI,M2,EQUITY,20,7,1,7,21,1,21
NAUKRI,M2,EQUITY,40,5,1,5,15,1,15
NAUKRI,M3,EQUITY,40,3,1,3,9,1,9
NAUKRI,M3,EQUITY,80,3,1,3,9,1,9
NBCC,M1,EQUITY,1,11,1,11,33,1,33
NBCC,M1,EQUITY,2,8,1,8,24,1,24
NBCC,M2,EQUITY,1,11,1,11,33,1,33
NBCC,M2,EQUITY,2,8,1,8,24,1,24
NBCC,M3,EQUITY,2,5,1,5,15,1,15
NBCC,M3,EQUITY,4,4,1,4,12,1,12
NCC,M1,EQUITY,2.5,9,1,9,27,1,27
NCC,M1,EQUITY,5,6,1,6,18,1,18
NESTLEIND,M1,EQUITY,10,12,1,12,36,1,36
NESTLEIND,M1,EQUITY,20,9,1,9,27,1,27
NESTLEIND,M2,EQUITY,10,12,1,12,36,1,36
NESTLEIND,M2,EQUITY,20,9,1,9,27,1,27
NESTLEIND,M3,EQUITY,20,6,1,6,18,1,18
NESTLEIND,M3,EQUITY,40,5,1,5,15,1,15
NHPC,M1,EQUITY,1,9,1,9,27,1,27
NHPC,M1,EQUITY,2,7,1,7,21,1,21
NHPC,M2,EQUITY,1,9,1,9,27,1,27
NHPC,M2,EQUITY,2,7,1,7,21,1,21
NHPC,M3,EQUITY,2,4,1,4,12,1,12
NHPC,M3,EQUITY,4,3,1,3,9,1,9
NMDC,M1,EQUITY,1,8,1,8,24,1,24
NMDC,M1,EQUITY,2,6,1,6,18,1,18
NMDC,M2,EQUITY,1,8,1,8,24,1,24
NMDC,M2,EQUITY,2,6,1,6,18,1,18
NMDC,M3,EQUITY,2,4,1,4,12,1,12
NMDC,M3,EQUITY,4,3,1,3,9,1,9
NTPC,M1,EQUITY,2.5,12,1,12,36,1,36
NTPC,M1,EQUITY,5,10,1,10,30,1,30
NTPC,M2,EQUITY,2.5,12,1,12,36,1,36
NTPC,M2,EQUITY,5,10,1,10,30,1,30
NTPC,M3,EQUITY,5,6,1,6,18,1,18
NTPC,M3,EQUITY,10,5,1,5,15,1,15
NUVAMA,M1,EQUITY,100,6,1,6,18,1,18
NUVAMA,M1,EQUITY,200,5,1,5,15,1,15
NUVAMA,M2,EQUITY,100,6,1,6,18,1,18
NUVAMA,M2,EQUITY,200,5,1,5,15,1,15
NUVAMA,M3,EQUITY,200,3,1,3,9,1,9
NUVAMA,M3,EQUITY,400,2,1,2,6,1,6
NYKAA,M1,EQUITY,2.5,10,1,10,30,1,30
NYKAA,M1,EQUITY,5,7,1,7,21,1,21
NYKAA,M2,EQUITY,2.5,10,1,10,30,1,30
NYKAA,M2,EQUITY,5,7,1,7,21,1,21
NYKAA,M3,EQUITY,5,5,1,5,15,1,15
NYKAA,M3,EQUITY,10,4,1,4,12,1,12
OBEROIRLTY,M1,EQUITY,20,8,1,8,24,1,24
OBEROIRLTY,M1,EQUITY,40,6,1,6,18,1,18
OBEROIRLTY,M2,EQUITY,20,8,1,8,24,1,24
OBEROIRLTY,M2,EQUITY,40,6,1,6,18,1,18
OBEROIRLTY,M3,EQUITY,40,4,1,4,12,1,12
OBEROIRLTY,M3,EQUITY,80,3,1,3,9,1,9
OFSS,M1,EQUITY,100,9,1,9,27,1,27
OFSS,M1,EQUITY,200,7,1,7,21,1,21
OFSS,M2,EQUITY,100,9,1,9,27,1,27
OFSS,M2,EQUITY,200,7,1,7,21,1,21
OFSS,M3,EQUITY,200,5,1,5,15,1,15
OFSS,M3,EQUITY,400,3,1,3,9,1,9
OIL,M1,EQUITY,5,8,1,8,24,1,24
OIL,M1,EQUITY,10,6,1,6,18,1,18
OIL,M2,EQUITY,5,8,1,8,24,1,24
OIL,M2,EQUITY,10,6,1,6,18,1,18
OIL,M3,EQUITY,10,4,1,4,12,1,12
OIL,M3,EQUITY,20,3,1,3,9,1,9
ONGC,M1,EQUITY,2.5,9,1,9,27,1,27
ONGC,M1,EQUITY,5,7,1,7,21,1,21
ONGC,M2,EQUITY,2.5,9,1,9,27,1,27
ONGC,M2,EQUITY,5,7,1,7,21,1,21
ONGC,M3,EQUITY,5,5,1,5,15,1,15
ONGC,M3,EQUITY,10,3,1,3,9,1,9
PAGEIND,M1,EQUITY,500,9,1,9,27,1,27
PAGEIND,M1,EQUITY,1000,7,1,7,21,1,21
PAGEIND,M2,EQUITY,500,9,1,9,27,1,27
PAGEIND,M2,EQUITY,1000,7,1,7,21,1,21
PAGEIND,M3,EQUITY,1000,4,1,4,12,1,12
PAGEIND,M3,EQUITY,2000,3,1,3,9,1,9
PATANJALI,M1,EQUITY,5,12,1,12,36,1,36
PATANJALI,M1,EQUITY,10,9,1,9,27,1,27
PATANJALI,M2,EQUITY,5,12,1,12,36,1,36
PATANJALI,M2,EQUITY,10,9,1,9,27,1,27
PATANJALI,M3,EQUITY,10,6,1,6,18,1,18
PATANJALI,M3,EQUITY,20,5,1,5,15,1,15
PAYTM,M1,EQUITY,20,6,1,6,18,1,18
PAYTM,M1,EQUITY,40,5,1,5,15,1,15
PAYTM,M2,EQUITY,20,6,1,6,18,1,18
PAYTM,M2,EQUITY,40,5,1,5,15,1,15
PAYTM,M3,EQUITY,40,3,1,3,9,1,9
PAYTM,M3,EQUITY,80,2,1,2,6,1,6
PERSISTENT,M1,EQUITY,100,5,1,5,15,1,15
PERSISTENT,M1,EQUITY,200,4,1,4,12,1,12
PERSISTENT,M2,EQUITY,100,5,1,5,15,1,15
PERSISTENT,M2,EQUITY,200,4,1,4,12,1,12
PERSISTENT,M3,EQUITY,200,3,1,3,9,1,9
PERSISTENT,M3,EQUITY,400,2,1,2,6,1,6
PETRONET,M1,EQUITY,2.5,11,1,11,33,1,33
PETRONET,M1,EQUITY,5,8,1,8,24,1,24
PETRONET,M2,EQUITY,2.5,11,1,11,33,1,33
PETRONET,M2,EQUITY,5,8,1,8,24,1,24
PETRONET,M3,EQUITY,5,6,1,6,18,1,18
PETRONET,M3,EQUITY,10,4,1,4,12,1,12
PFC,M1,EQUITY,5,8,1,8,24,1,24
PFC,M1,EQUITY,10,6,1,6,18,1,18
PFC,M2,EQUITY,5,8,1,8,24,1,24
PFC,M2,EQUITY,10,6,1,6,18,1,18
PFC,M3,EQUITY,10,4,1,4,12,1,12
PFC,M3,EQUITY,20,3,1,3,9,1,9
PGEL,M1,EQUITY,10,6,1,6,18,1,18
PGEL,M1,EQUITY,20,4,1,4,12,1,12
PGEL,M2,EQUITY,10,6,1,6,18,1,18
PGEL,M2,EQUITY,20,4,1,4,12,1,12
PGEL,M3,EQUITY,20,3,1,3,9,1,9
PGEL,M3,EQUITY,40,2,1,2,6,1,6
PHOENIXLTD,M1,EQUITY,20,8,1,8,24,1,24
PHOENIXLTD,M1,EQUITY,40,6,1,6,18,1,18
PHOENIXLTD,M2,EQUITY,20,8,1,8,24,1,24
PHOENIXLTD,M2,EQUITY,40,6,1,6,18,1,18
PHOENIXLTD,M3,EQUITY,40,4,1,4,12,1,12
PHOENIXLTD,M3,EQUITY,80,3,1,3,9,1,9
PIDILITIND,M1,EQUITY,20,8,1,8,24,1,24
PIDILITIND,M1,EQUITY,40,6,1,6,18,1,18
PIDILITIND,M2,EQUITY,20,8,1,8,24,1,24
PIDILITIND,M2,EQUITY,40,6,1,6,18,1,18
PIDILITIND,M3,EQUITY,40,4,1,4,12,1,12
PIDILITIND,M3,EQUITY,80,3,1,3,9,1,9
PIIND,M1,EQUITY,50,7,1,7,21,1,21
PIIND,M1,EQUITY,100,6,1,6,18,1,18
PIIND,M2,EQUITY,50,7,1,7,21,1,21
PIIND,M2,EQUITY,100,6,1,6,18,1,18
PIIND,M3,EQUITY,100,4,1,4,12,1,12
PIIND,M3,EQUITY,200,3,1,3,9,1,9
PNB,M1,EQUITY,1,11,1,11,33,1,33
PNB,M1,EQUITY,2,8,1,8,24,1,24
PNB,M2,EQUITY,1,11,1,11,33,1,33
PNB,M2,EQUITY,2,8,1,8,24,1,24
PNB,M3,EQUITY,2,5,1,5,15,1,15
PNB,M3,EQUITY,4,4,1,4,12,1,12
PNBHOUSING,M1,EQUITY,10,8,1,8,24,1,24
PNBHOUSING,M1,EQUITY,20,6,1,6,18,1,18
PNBHOUSING,M2,EQUITY,10,8,1,8,24,1,24
PNBHOUSING,M2,EQUITY,20,6,1,6,18,1,18
PNBHOUSING,M3,EQUITY,20,4,1,4,12,1,12
PNBHOUSING,M3,EQUITY,40,3,1,3,9,1,9
POLICYBZR,M1,EQUITY,20,9,1,9,27,1,27
POLICYBZR,M1,EQUITY,40,7,1,7,21,1,21
POLICYBZR,M2,EQUITY,20,9,1,9,27,1,27
POLICYBZR,M2,EQUITY,40,7,1,7,21,1,21
POLICYBZR,M3,EQUITY,40,5,1,5,15,1,15
POLICYBZR,M3,EQUITY,80,3,1,3,9,1,9
POLYCAB,M1,EQUITY,100,7,1,7,21,1,21
POLYCAB,M1,EQUITY,200,5,1,5,15,1,15
POLYCAB,M2,EQUITY,100,7,1,7,21,1,21
POLYCAB,M2,EQUITY,200,5,1,5,15,1,15
POLYCAB,M3,EQUITY,200,4,1,4,12,1,12
POLYCAB,M3,EQUITY,400,3,1,3,9,1,9
POWERGRID,M1,EQUITY,2.5,12,1,12,36,1,36
POWERGRID,M1,EQUITY,5,9,1,9,27,1,27
POWERGRID,M2,EQUITY,2.5,12,1,12,36,1,36
POWERGRID,M2,EQUITY,5,9,1,9,27,1,27
POWERGRID,M3,EQUITY,5,6,1,6,18,1,18
POWERGRID,M3,EQUITY,10,4,1,4,12,1,12
POWERINDIA,M1,EQUITY,250,7,1,7,21,1,21
POWERINDIA,M1,EQUITY,500,5,1,5,15,1,15
POWERINDIA,M2,EQUITY,250,7,1,7,21,1,21
POWERINDIA,M2,EQUITY,500,5,1,5,15,1,15
POWERINDIA,M3,EQUITY,500,4,1,4,12,1,12
POWERINDIA,M3,EQUITY,1000,3,1,3,9,1,9
PPLPHARMA,M1,EQUITY,2.5,8,1,8,24,1,24
PPLPHARMA,M1,EQUITY,5,6,1,6,18,1,18
PPLPHARMA,M2,EQUITY,2.5,8,1,8,24,1,24
PPLPHARMA,M2,EQUITY,5,6,1,6,18,1,18
PPLPHARMA,M3,EQUITY,5,4,1,4,12,1,12
PPLPHARMA,M3,EQUITY,10,3,1,3,9,1,9
PRESTIGE,M1,EQUITY,20,8,1,8,24,1,24
PRESTIGE,M1,EQUITY,40,6,1,6,18,1,18
PRESTIGE,M2,EQUITY,20,8,1,8,24,1,24
PRESTIGE,M2,EQUITY,40,6,1,6,18,1,18
PRESTIGE,M3,EQUITY,40,4,1,4,12,1,12
PRESTIGE,M3,EQUITY,80,3,1,3,9,1,9
RBLBANK,M1,EQUITY,5,5,1,5,15,1,15
RBLBANK,M1,EQUITY,10,4,1,4,12,1,12
RBLBANK,M2,EQUITY,5,5,1,5,15,1,15
RBLBANK,M2,EQUITY,10,4,1,4,12,1,12
RBLBANK,M3,EQUITY,10,3,1,3,9,1,9
RBLBANK,M3,EQUITY,20,2,1,2,6,1,6
RECLTD,M1,EQUITY,5,8,1,8,24,1,24
RECLTD,M1,EQUITY,10,6,1,6,18,1,18
RECLTD,M2,EQUITY,5,8,1,8,24,1,24
RECLTD,M2,EQUITY,10,6,1,6,18,1,18
RECLTD,M3,EQUITY,10,4,1,4,12,1,12
RECLTD,M3,EQUITY,20,3,1,3,9,1,9
RELIANCE,M1,EQUITY,10,12,1,12,36,1,36
RELIANCE,M1,EQUITY,20,10,1,10,30,1,30
RELIANCE,M2,EQUITY,10,12,1,12,36,1,36
RELIANCE,M2,EQUITY,20,10,1,10,30,1,30
RELIANCE,M3,EQUITY,20,6,1,6,18,1,18
RELIANCE,M3,EQUITY,40,5,1,5,15,1,15
RVNL,M1,EQUITY,5,7,1,7,21,1,21
RVNL,M1,EQUITY,10,5,1,5,15,1,15
RVNL,M2,EQUITY,5,7,1,7,21,1,21
RVNL,M2,EQUITY,10,5,1,5,15,1,15
RVNL,M3,EQUITY,10,3,1,3,9,1,9
RVNL,M3,EQUITY,20,3,1,3,9,1,9
SAIL,M1,EQUITY,1,12,1,12,36,1,36
SAIL,M1,EQUITY,2,10,1,10,30,1,30
SAIL,M2,EQUITY,1,12,1,12,36,1,36
SAIL,M2,EQUITY,2,10,1,10,30,1,30
SAIL,M3,EQUITY,2,6,1,6,18,1,18
SAIL,M3,EQUITY,4,5,1,5,15,1,15
SAMMAANCAP,M1,EQUITY,2.5,5,1,5,15,1,15
SAMMAANCAP,M1,EQUITY,5,4,1,4,12,1,12
SAMMAANCAP,M2,EQUITY,2.5,5,1,5,15,1,15
SAMMAANCAP,M2,EQUITY,5,4,1,4,12,1,12
SAMMAANCAP,M3,EQUITY,5,3,1,3,9,1,9
SAMMAANCAP,M3,EQUITY,10,2,1,2,6,1,6
SBICARD,M1,EQUITY,10,9,1,9,27,1,27
SBICARD,M1,EQUITY,20,7,1,7,21,1,21
SBICARD,M2,EQUITY,10,9,1,9,27,1,27
SBICARD,M2,EQUITY,20,7,1,7,21,1,21
SBICARD,M3,EQUITY,20,5,1,5,15,1,15
SBICARD,M3,EQUITY,40,3,1,3,9,1,9
SBILIFE,M1,EQUITY,20,9,1,9,27,1,27
SBILIFE,M1,EQUITY,40,7,1,7,21,1,21
SBILIFE,M2,EQUITY,20,9,1,9,27,1,27
SBILIFE,M2,EQUITY,40,7,1,7,21,1,21
SBILIFE,M3,EQUITY,40,5,1,5,15,1,15
SBILIFE,M3,EQUITY,80,3,1,3,9,1,9
SBIN,M1,EQUITY,5,12,1,12,36,1,36
SBIN,M1,EQUITY,10,12,1,12,36,1,36
SBIN,M2,EQUITY,5,12,1,12,36,1,36
SBIN,M2,EQUITY,10,12,1,12,36,1,36
SBIN,M3,EQUITY,10,6,1,6,18,1,18
SBIN,M3,EQUITY,20,6,1,6,18,1,18
SHREECEM,M1,EQUITY,250,12,1,12,36,1,36
SHREECEM,M1,EQUITY,500,9,1,9,27,1,27
SHREECEM,M2,EQUITY,250,12,1,12,36,1,36
SHREECEM,M2,EQUITY,500,9,1,9,27,1,27
SHREECEM,M3,EQUITY,500,6,1,6,18,1,18
SHREECEM,M3,EQUITY,1000,4,1,4,12,1,12
SHRIRAMFIN,M1,EQUITY,10,6,1,6,18,1,18
SHRIRAMFIN,M1,EQUITY,20,5,1,5,15,1,15
SHRIRAMFIN,M2,EQUITY,10,6,1,6,18,1,18
SHRIRAMFIN,M2,EQUITY,20,5,1,5,15,1,15
SHRIRAMFIN,M3,EQUITY,20,3,1,3,9,1,9
SHRIRAMFIN,M3,EQUITY,40,2,1,2,6,1,6
SIEMENS,M1,EQUITY,50,7,1,7,21,1,21
SIEMENS,M1,EQUITY,100,5,1,5,15,1,15
SIEMENS,M2,EQUITY,50,7,1,7,21,1,21
SIEMENS,M2,EQUITY,100,5,1,5,15,1,15
SIEMENS,M3,EQUITY,100,3,1,3,9,1,9
SIEMENS,M3,EQUITY,200,2,1,2,6,1,6
SOLARINDS,M1,EQUITY,250,6,1,6,18,1,18
SOLARINDS,M1,EQUITY,500,4,1,4,12,1,12
SOLARINDS,M2,EQUITY,250,6,1,6,18,1,18
SOLARINDS,M2,EQUITY,500,4,1,4,12,1,12
SOLARINDS,M3,EQUITY,500,3,1,3,9,1,9
SOLARINDS,M3,EQUITY,1000,2,1,2,6,1,6
SONACOMS,M1,EQUITY,5,9,1,9,27,1,27
SONACOMS,M1,EQUITY,10,7,1,7,21,1,21
SONACOMS,M2,EQUITY,5,9,1,9,27,1,27
SONACOMS,M2,EQUITY,10,7,1,7,21,1,21
SONACOMS,M3,EQUITY,10,4,1,4,12,1,12
SONACOMS,M3,EQUITY,20,3,1,3,9,1,9
SRF,M1,EQUITY,50,6,1,6,18,1,18
SRF,M1,EQUITY,100,4,1,4,12,1,12
SRF,M2,EQUITY,50,6,1,6,18,1,18
SRF,M2,EQUITY,100,4,1,4,12,1,12
SRF,M3,EQUITY,100,3,1,3,9,1,9
SRF,M3,EQUITY,200,2,1,2,6,1,6
SUNPHARMA,M1,EQUITY,20,8,1,8,24,1,24
SUNPHARMA,M1,EQUITY,40,6,1,6,18,1,18
SUNPHARMA,M2,EQUITY,20,8,1,8,24,1,24
SUNPHARMA,M2,EQUITY,40,6,1,6,18,1,18
SUNPHARMA,M3,EQUITY,40,4,1,4,12,1,12
SUNPHARMA,M3,EQUITY,80,3,1,3,9,1,9
SUPREMEIND,M1,EQUITY,50,9,1,9,27,1,27
SUPREMEIND,M1,EQUITY,100,7,1,7,21,1,21
SUPREMEIND,M2,EQUITY,50,9,1,9,27,1,27
SUPREMEIND,M2,EQUITY,100,7,1,7,21,1,21
SUPREMEIND,M3,EQUITY,100,5,1,5,15,1,15
SUPREMEIND,M3,EQUITY,200,3,1,3,9,1,9
SUZLON,M1,EQUITY,1,6,1,6,18,1,18
SUZLON,M1,EQUITY,2,4,1,4,12,1,12
SUZLON,M2,EQUITY,1,6,1,6,18,1,18
SUZLON,M2,EQUITY,2,4,1,4,12,1,12
SUZLON,M3,EQUITY,2,3,1,3,9,1,9
SUZLON,M3,EQUITY,4,2,1,2,6,1,6
SYNGENE,M1,EQUITY,10,7,1,7,21,1,21
SYNGENE,M1,EQUITY,20,5,1,5,15,1,15
SYNGENE,M2,EQUITY,10,7,1,7,21,1,21
SYNGENE,M2,EQUITY,20,5,1,5,15,1,15
SYNGENE,M3,EQUITY,20,3,1,3,9,1,9
SYNGENE,M3,EQUITY,40,3,1,3,9,1,9
TATACONSUM,M1,EQUITY,10,11,1,11,33,1,33
TATACONSUM,M1,EQUITY,20,8,1,8,24,1,24
TATACONSUM,M2,EQUITY,10,11,1,11,33,1,33
TATACONSUM,M2,EQUITY,20,8,1,8,24,1,24
TATACONSUM,M3,EQUITY,20,6,1,6,18,1,18
TATACONSUM,M3,EQUITY,40,4,1,4,12,1,12
TATAELXSI,M1,EQUITY,100,6,1,6,18,1,18
TATAELXSI,M1,EQUITY,200,4,1,4,12,1,12
TATAELXSI,M2,EQUITY,100,6,1,6,18,1,18
TATAELXSI,M2,EQUITY,200,4,1,4,12,1,12
TATAELXSI,M3,EQUITY,200,3,1,3,9,1,9
TATAELXSI,M3,EQUITY,400,2,1,2,6,1,6
TATAPOWER,M1,EQUITY,5,8,1,8,24,1,24
TATAPOWER,M1,EQUITY,10,6,1,6,18,1,18
TATAPOWER,M2,EQUITY,5,8,1,8,24,1,24
TATAPOWER,M2,EQUITY,10,6,1,6,18,1,18
TATAPOWER,M3,EQUITY,10,4,1,4,12,1,12
TATAPOWER,M3,EQUITY,20,3,1,3,9,1,9
TATASTEEL,M1,EQUITY,2.5,7,1,7,21,1,21
TATASTEEL,M1,EQUITY,5,5,1,5,15,1,15
TATASTEEL,M2,EQUITY,2.5,7,1,7,21,1,21
TATASTEEL,M2,EQUITY,5,5,1,5,15,1,15
TATASTEEL,M3,EQUITY,5,3,1,3,9,1,9
TATASTEEL,M3,EQUITY,10,3,1,3,9,1,9
TATATECH,M1,EQUITY,10,7,1,7,21,1,21
TATATECH,M1,EQUITY,20,5,1,5,15,1,15
TATATECH,M2,EQUITY,10,7,1,7,21,1,21
TATATECH,M2,EQUITY,20,5,1,5,15,1,15
TATATECH,M3,EQUITY,20,4,1,4,12,1,12
TATATECH,M3,EQUITY,40,3,1,3,9,1,9
TCS,M1,EQUITY,20,12,1,12,36,1,36
TCS,M1,EQUITY,40,12,1,12,36,1,36
TCS,M2,EQUITY,20,12,1,12,36,1,36
TCS,M2,EQUITY,40,12,1,12,36,1,36
TCS,M3,EQUITY,40,6,1,6,18,1,18
TCS,M3,EQUITY,80,6,1,6,18,1,18
TECHM,M1,EQUITY,20,8,1,8,24,1,24
TECHM,M1,EQUITY,40,6,1,6,18,1,18
TECHM,M2,EQUITY,20,8,1,8,24,1,24
TECHM,M2,EQUITY,40,6,1,6,18,1,18
TECHM,M3,EQUITY,40,4,1,4,12,1,12
TECHM,M3,EQUITY,80,3,1,3,9,1,9
TIINDIA,M1,EQUITY,50,7,1,7,21,1,21
