Company Name,Industry,Symbol,Series,ISIN Code
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ,INE883F01010
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020
Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,EQ,INE055A01016
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025
Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,AEGISVOPAK,EQ,INE0INX01018
Afcons Infrastructure Ltd.,Construction,AFCONS,EQ,INE101I01011
Affle 3i Ltd.,Information Technology,AFFLE,EQ,INE00WC01027
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026
Anant Raj Ltd.,Realty,ANANTRAJ,EQ,INE242C01024
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019
Atul Ltd.,Chemicals,ATUL,EQ,INE100A01010
BEML Ltd.,Capital Goods,BEML,EQ,INE258A01024
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014
Brainbees Solutions Ltd.,Consumer Services,FIRSTCRY,EQ,INE02RE01045
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019
CESC Ltd.,Power,CESC,EQ,INE486A01021
Capri Global Capital Ltd.,Financial Services,CGCL,EQ,INE180C01042
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,EQ,INE149A01033
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01020
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,EQ,INE0IX101010
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT,EQ,INE501A01019
Delhivery Ltd.,Services,DELHIVERY,EQ,INE148O01028
Devyani International Ltd.,Consumer Services,DEVYANI,EQ,INE872J01023
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024
Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012
Five-Star Business Finance Ltd.,Financial Services,FIVESTAR,EQ,INE128S01021
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,EQ,INE382Z01011
Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE,EQ,INE322A01010
Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023
Go Digit General Insurance Ltd.,Financial Services,GODIGIT,EQ,INE03JT01014
Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032
HBL Engineering Ltd.,Capital Goods,HBLENGINE,EQ,INE292B01021
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ,INE019C01026
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026
IFCI Ltd.,Financial Services,IFCI,EQ,INE039A01010
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024
IRCON International Ltd.,Construction,IRCON,EQ,INE962Y01021
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020
Inox Wind Ltd.,Capital Goods,INOXWIND,EQ,INE066P01011
International Gemmological Institute (India) Ltd.,Services,IGIL,EQ,INE0Q9301021
Inventurus Knowledge Solutions Ltd.,Information Technology,IKS,EQ,INE115Q01022
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM,EQ,INE572A01036
JBM Auto Ltd.,Automobile and Auto Components,JBMA,EQ,INE927D01051
Jindal Saw Ltd.,Capital Goods,JINDALSAW,EQ,INE324A01032
Jupiter Wagons Ltd.,Capital Goods,JWL,EQ,INE209L01016
Jyoti CNC Automation Ltd.,Capital Goods,JYOTICNC,EQ,INE980O01024
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER,EQ,INE217B01036
Kalpataru Projects International Ltd.,Construction,KPIL,EQ,INE220B01022
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028
Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012
